measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Denmark,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2775.375675,3669.77663,2006.811037
DALYs (Disability-Adjusted Life Years),Denmark,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2478.286864,3279.749003,1789.151118
DALYs (Disability-Adjusted Life Years),Japan,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1812.350724,2403.600025,1295.763555
DALYs (Disability-Adjusted Life Years),Japan,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2940.771206,3874.30348,2110.678035
DALYs (Disability-Adjusted Life Years),Japan,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2402.943757,3163.618977,1722.666473
DALYs (Disability-Adjusted Life Years),Czechia,Male,Age-standardized,Headache disorders,Rate,1990,417.609422,852.9475444,122.5266651
DALYs (Disability-Adjusted Life Years),Czechia,Female,Age-standardized,Headache disorders,Rate,1990,741.5531725,1561.102879,196.1051309
DALYs (Disability-Adjusted Life Years),Czechia,Both,Age-standardized,Headache disorders,Rate,1990,581.46679,1220.060935,159.7392137
DALYs (Disability-Adjusted Life Years),Nicaragua,Male,Age-standardized,Headache disorders,Rate,1990,368.5648933,785.65567,81.14319955
DALYs (Disability-Adjusted Life Years),Nicaragua,Female,Age-standardized,Headache disorders,Rate,1990,734.0082108,1635.298262,131.5114716
DALYs (Disability-Adjusted Life Years),Nicaragua,Both,Age-standardized,Headache disorders,Rate,1990,558.2403467,1226.72033,106.9695484
DALYs (Disability-Adjusted Life Years),Estonia,Male,Age-standardized,Headache disorders,Rate,1990,412.9705491,803.6284971,144.7743473
DALYs (Disability-Adjusted Life Years),Estonia,Female,Age-standardized,Headache disorders,Rate,1990,797.9860287,1593.003115,262.1800232
DALYs (Disability-Adjusted Life Years),Estonia,Both,Age-standardized,Headache disorders,Rate,1990,613.6169425,1224.398523,208.2787784
DALYs (Disability-Adjusted Life Years),Sierra Leone,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1218.488085,1632.475047,872.6015221
DALYs (Disability-Adjusted Life Years),Sierra Leone,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1360.814692,1813.481922,978.1850087
DALYs (Disability-Adjusted Life Years),Sierra Leone,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1288.125642,1718.850661,925.3576084
DALYs (Disability-Adjusted Life Years),Cuba,Male,Age-standardized,Headache disorders,Rate,1990,389.9629529,828.2833902,82.39838229
DALYs (Disability-Adjusted Life Years),Cuba,Female,Age-standardized,Headache disorders,Rate,1990,710.0954866,1595.821768,133.9024396
DALYs (Disability-Adjusted Life Years),Cuba,Both,Age-standardized,Headache disorders,Rate,1990,549.6697065,1201.991889,110.0321769
DALYs (Disability-Adjusted Life Years),Ecuador,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1334.440027,1774.962047,954.0960736
DALYs (Disability-Adjusted Life Years),Ecuador,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1765.229095,2335.248306,1262.714173
DALYs (Disability-Adjusted Life Years),Ecuador,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1552.083472,2055.103745,1105.070921
DALYs (Disability-Adjusted Life Years),Dominican Republic,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1244.400205,1640.091263,896.8567235
DALYs (Disability-Adjusted Life Years),Dominican Republic,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1505.839364,2000.989031,1076.242689
DALYs (Disability-Adjusted Life Years),Dominican Republic,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1377.942986,1828.321881,987.6878331
DALYs (Disability-Adjusted Life Years),Greenland,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,2164.000709,2843.3739,1582.609269
DALYs (Disability-Adjusted Life Years),Greenland,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2879.822553,3785.168636,2093.588805
DALYs (Disability-Adjusted Life Years),Greenland,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2494.270945,3273.847754,1809.519033
DALYs (Disability-Adjusted Life Years),Iran (Islamic Republic of),Male,Age-standardized,Headache disorders,Rate,1990,557.3769023,1166.927983,151.8174463
DALYs (Disability-Adjusted Life Years),Iran (Islamic Republic of),Female,Age-standardized,Headache disorders,Rate,1990,856.4133583,1880.890201,188.8026456
DALYs (Disability-Adjusted Life Years),Iran (Islamic Republic of),Both,Age-standardized,Headache disorders,Rate,1990,703.6166033,1500.552963,169.8775947
DALYs (Disability-Adjusted Life Years),Nepal,Male,Age-standardized,Headache disorders,Rate,1990,488.8274738,1076.758556,81.53409354
DALYs (Disability-Adjusted Life Years),Nepal,Female,Age-standardized,Headache disorders,Rate,1990,704.320213,1573.737356,121.3978821
DALYs (Disability-Adjusted Life Years),Nepal,Both,Age-standardized,Headache disorders,Rate,1990,596.9111311,1310.464768,101.2638549
DALYs (Disability-Adjusted Life Years),Kyrgyzstan,Male,Age-standardized,Headache disorders,Rate,1990,415.8302151,866.1221073,105.5103149
DALYs (Disability-Adjusted Life Years),Kyrgyzstan,Female,Age-standardized,Headache disorders,Rate,1990,711.1417187,1514.657491,159.3628068
DALYs (Disability-Adjusted Life Years),Kyrgyzstan,Both,Age-standardized,Headache disorders,Rate,1990,567.8254162,1200.358635,133.4480632
DALYs (Disability-Adjusted Life Years),Papua New Guinea,Male,Age-standardized,Headache disorders,Rate,1990,438.5269595,945.9379565,87.05065126
DALYs (Disability-Adjusted Life Years),Papua New Guinea,Female,Age-standardized,Headache disorders,Rate,1990,664.6296405,1516.858204,104.5216383
DALYs (Disability-Adjusted Life Years),Papua New Guinea,Both,Age-standardized,Headache disorders,Rate,1990,547.3683209,1225.653419,95.27114288
DALYs (Disability-Adjusted Life Years),Philippines,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1821.55164,2420.162004,1294.514237
DALYs (Disability-Adjusted Life Years),Philippines,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2359.121539,3121.599409,1697.955833
DALYs (Disability-Adjusted Life Years),Philippines,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2094.479486,2775.627853,1498.165656
DALYs (Disability-Adjusted Life Years),Latvia,Male,Age-standardized,Headache disorders,Rate,1990,411.909754,808.5437697,145.6693561
DALYs (Disability-Adjusted Life Years),Latvia,Female,Age-standardized,Headache disorders,Rate,1990,796.4085608,1589.285815,259.9885812
DALYs (Disability-Adjusted Life Years),Latvia,Both,Age-standardized,Headache disorders,Rate,1990,613.2325892,1226.006756,207.1562319
DALYs (Disability-Adjusted Life Years),Myanmar,Male,Age-standardized,Headache disorders,Rate,1990,488.2268226,1093.152885,86.92607401
DALYs (Disability-Adjusted Life Years),Myanmar,Female,Age-standardized,Headache disorders,Rate,1990,761.7460419,1818.463755,106.423707
DALYs (Disability-Adjusted Life Years),Myanmar,Both,Age-standardized,Headache disorders,Rate,1990,627.6138782,1442.153724,97.4163974
DALYs (Disability-Adjusted Life Years),Netherlands,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1700.834842,2266.017639,1220.248204
DALYs (Disability-Adjusted Life Years),Netherlands,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2332.172933,3075.337915,1684.563961
DALYs (Disability-Adjusted Life Years),Netherlands,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2027.280384,2679.04353,1453.450078
DALYs (Disability-Adjusted Life Years),Finland,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1623.392864,2147.978506,1166.24892
DALYs (Disability-Adjusted Life Years),Finland,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2369.35213,3142.28922,1726.169419
DALYs (Disability-Adjusted Life Years),Finland,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2022.049441,2677.52775,1464.347906
DALYs (Disability-Adjusted Life Years),Uruguay,Male,Age-standardized,Headache disorders,Rate,1990,348.4157943,714.935145,102.0197763
DALYs (Disability-Adjusted Life Years),Uruguay,Female,Age-standardized,Headache disorders,Rate,1990,636.3559671,1374.256796,148.9103079
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,Headache disorders,Rate,1990,495.5540272,1054.934436,126.1091034
DALYs (Disability-Adjusted Life Years),China,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1397.211287,1869.420023,1003.66926
DALYs (Disability-Adjusted Life Years),China,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1985.180048,2629.086374,1433.297803
DALYs (Disability-Adjusted Life Years),China,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1687.588352,2239.959417,1218.599688
DALYs (Disability-Adjusted Life Years),Mozambique,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1167.939011,1557.773893,829.7912203
DALYs (Disability-Adjusted Life Years),Mozambique,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1159.946675,1562.235592,812.0761674
DALYs (Disability-Adjusted Life Years),Mozambique,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1163.320815,1562.574933,826.5699234
DALYs (Disability-Adjusted Life Years),Guam,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1614.383566,2147.831797,1160.433917
DALYs (Disability-Adjusted Life Years),Guam,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2124.565342,2795.911042,1550.262961
DALYs (Disability-Adjusted Life Years),Guam,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1857.223851,2449.822344,1348.23346
DALYs (Disability-Adjusted Life Years),Samoa,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1682.936677,2230.808598,1203.772374
DALYs (Disability-Adjusted Life Years),Samoa,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2212.482067,2903.731052,1601.853209
DALYs (Disability-Adjusted Life Years),Samoa,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1945.266915,2552.474719,1405.201503
DALYs (Disability-Adjusted Life Years),Dominica,Male,Age-standardized,Headache disorders,Rate,1990,389.8455834,842.3302477,82.37122552
DALYs (Disability-Adjusted Life Years),Dominica,Female,Age-standardized,Headache disorders,Rate,1990,712.1355079,1604.425712,132.8510785
DALYs (Disability-Adjusted Life Years),Dominica,Both,Age-standardized,Headache disorders,Rate,1990,552.3339132,1206.338949,106.721222
DALYs (Disability-Adjusted Life Years),Greece,Male,Age-standardized,Headache disorders,Rate,1990,517.1330383,1127.969689,87.48241524
DALYs (Disability-Adjusted Life Years),Greece,Female,Age-standardized,Headache disorders,Rate,1990,995.0147012,2206.739504,184.1479257
DALYs (Disability-Adjusted Life Years),Greece,Both,Age-standardized,Headache disorders,Rate,1990,757.441069,1654.701443,139.4868414
DALYs (Disability-Adjusted Life Years),Solomon Islands,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1506.086568,2006.002395,1079.691674
DALYs (Disability-Adjusted Life Years),Solomon Islands,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1940.312269,2567.988216,1409.407601
DALYs (Disability-Adjusted Life Years),Solomon Islands,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1706.786224,2258.707204,1235.879602
DALYs (Disability-Adjusted Life Years),Tokelau,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1536.766937,2052.661149,1103.75547
DALYs (Disability-Adjusted Life Years),Tokelau,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2063.050494,2727.611655,1494.705441
DALYs (Disability-Adjusted Life Years),Tokelau,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1820.659733,2405.035369,1313.787009
DALYs (Disability-Adjusted Life Years),Montenegro,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1462.128539,1972.690044,1032.922442
DALYs (Disability-Adjusted Life Years),Montenegro,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1556.087215,2082.608981,1105.487455
DALYs (Disability-Adjusted Life Years),Montenegro,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1507.118445,2023.346443,1071.956503
DALYs (Disability-Adjusted Life Years),Tokelau,Male,Age-standardized,Headache disorders,Rate,1990,445.5624193,965.966639,86.26239693
DALYs (Disability-Adjusted Life Years),Tokelau,Female,Age-standardized,Headache disorders,Rate,1990,672.065474,1538.185308,105.6872907
DALYs (Disability-Adjusted Life Years),Tokelau,Both,Age-standardized,Headache disorders,Rate,1990,563.2532354,1259.861709,96.64487908
DALYs (Disability-Adjusted Life Years),Ecuador,Male,Age-standardized,Headache disorders,Rate,1990,328.0146702,680.1193165,82.33197993
DALYs (Disability-Adjusted Life Years),Ecuador,Female,Age-standardized,Headache disorders,Rate,1990,634.0598852,1356.066562,131.4132584
DALYs (Disability-Adjusted Life Years),Ecuador,Both,Age-standardized,Headache disorders,Rate,1990,482.8530546,1022.818489,107.673002
DALYs (Disability-Adjusted Life Years),Sri Lanka,Male,Age-standardized,Headache disorders,Rate,1990,490.4171609,1086.50294,87.84965018
DALYs (Disability-Adjusted Life Years),Sri Lanka,Female,Age-standardized,Headache disorders,Rate,1990,764.2617162,1821.367554,106.543713
DALYs (Disability-Adjusted Life Years),Sri Lanka,Both,Age-standardized,Headache disorders,Rate,1990,626.9620139,1447.763432,96.40876578
DALYs (Disability-Adjusted Life Years),Eswatini,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1302.739674,1728.157436,940.994082
DALYs (Disability-Adjusted Life Years),Eswatini,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1330.540897,1750.632968,964.5127133
DALYs (Disability-Adjusted Life Years),Eswatini,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1319.321503,1745.633385,951.370921
DALYs (Disability-Adjusted Life Years),Kuwait,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1523.77673,2019.619402,1095.717757
DALYs (Disability-Adjusted Life Years),Kuwait,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1905.88161,2494.892177,1373.915371
DALYs (Disability-Adjusted Life Years),Kuwait,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1669.936788,2189.259639,1205.086981
DALYs (Disability-Adjusted Life Years),Pakistan,Male,Age-standardized,Headache disorders,Rate,1990,467.9626494,1053.942077,73.74542748
DALYs (Disability-Adjusted Life Years),Pakistan,Female,Age-standardized,Headache disorders,Rate,1990,673.5872478,1470.444279,113.0064813
DALYs (Disability-Adjusted Life Years),Pakistan,Both,Age-standardized,Headache disorders,Rate,1990,565.262908,1250.245437,92.98048967
DALYs (Disability-Adjusted Life Years),San Marino,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1748.738061,2338.328808,1248.22123
DALYs (Disability-Adjusted Life Years),San Marino,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2425.28493,3219.67053,1733.148029
DALYs (Disability-Adjusted Life Years),San Marino,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2093.353706,2786.800367,1506.362312
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1385.016989,1822.06235,1008.30494
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2240.564198,2936.089841,1640.52041
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1824.139792,2390.72459,1328.07569
DALYs (Disability-Adjusted Life Years),San Marino,Male,Age-standardized,Headache disorders,Rate,1990,481.5553049,1044.118667,88.08438701
DALYs (Disability-Adjusted Life Years),San Marino,Female,Age-standardized,Headache disorders,Rate,1990,961.2818186,2136.423693,186.2852318
DALYs (Disability-Adjusted Life Years),San Marino,Both,Age-standardized,Headache disorders,Rate,1990,719.2848755,1580.732155,137.8630939
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1477.716343,1971.340635,1058.465117
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1999.94042,2647.089839,1450.042733
DALYs (Disability-Adjusted Life Years),Democratic People's Republic of Korea,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1778.732121,2374.984509,1285.636519
DALYs (Disability-Adjusted Life Years),Greenland,Male,Age-standardized,Headache disorders,Rate,1990,408.5980445,844.9136672,99.59509535
DALYs (Disability-Adjusted Life Years),Greenland,Female,Age-standardized,Headache disorders,Rate,1990,915.2448501,2091.348376,146.2054551
DALYs (Disability-Adjusted Life Years),Greenland,Both,Age-standardized,Headache disorders,Rate,1990,635.4715125,1380.114002,121.0507617
DALYs (Disability-Adjusted Life Years),Dominican Republic,Male,Age-standardized,Headache disorders,Rate,1990,389.0475852,837.2312774,81.96465867
DALYs (Disability-Adjusted Life Years),Dominican Republic,Female,Age-standardized,Headache disorders,Rate,1990,712.992304,1606.579877,135.4691328
DALYs (Disability-Adjusted Life Years),Dominican Republic,Both,Age-standardized,Headache disorders,Rate,1990,555.6523652,1230.393085,108.807591
DALYs (Disability-Adjusted Life Years),Tajikistan,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1104.792637,1480.425012,787.0477906
DALYs (Disability-Adjusted Life Years),Tajikistan,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1477.452928,1961.86846,1055.724457
DALYs (Disability-Adjusted Life Years),Tajikistan,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1299.76325,1730.382387,920.9692982
DALYs (Disability-Adjusted Life Years),Comoros,Male,Age-standardized,Headache disorders,Rate,1990,313.6122254,630.5971112,92.38057581
DALYs (Disability-Adjusted Life Years),Comoros,Female,Age-standardized,Headache disorders,Rate,1990,484.9314085,1007.362183,139.2258896
DALYs (Disability-Adjusted Life Years),Comoros,Both,Age-standardized,Headache disorders,Rate,1990,401.7366273,819.0434834,115.5524275
DALYs (Disability-Adjusted Life Years),Canada,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,2122.049839,2791.785948,1535.400692
DALYs (Disability-Adjusted Life Years),Canada,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2787.280489,3665.16454,2023.703791
DALYs (Disability-Adjusted Life Years),Canada,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2467.597895,3225.826675,1793.126703
DALYs (Disability-Adjusted Life Years),North Macedonia,Male,Age-standardized,Headache disorders,Rate,1990,419.3821013,853.7889923,122.2972772
DALYs (Disability-Adjusted Life Years),North Macedonia,Female,Age-standardized,Headache disorders,Rate,1990,741.9650597,1559.633377,196.620745
DALYs (Disability-Adjusted Life Years),North Macedonia,Both,Age-standardized,Headache disorders,Rate,1990,579.8875714,1201.448339,159.5616717
DALYs (Disability-Adjusted Life Years),Portugal,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1672.132408,2226.726613,1198.273805
DALYs (Disability-Adjusted Life Years),Portugal,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,2566.550521,3386.427277,1846.058297
DALYs (Disability-Adjusted Life Years),Portugal,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,2147.610827,2842.353136,1544.672216
DALYs (Disability-Adjusted Life Years),Saint Kitts and Nevis,Male,Age-standardized,Headache disorders,Rate,1990,389.2074859,836.8603378,82.57703745
DALYs (Disability-Adjusted Life Years),Saint Kitts and Nevis,Female,Age-standardized,Headache disorders,Rate,1990,710.6274793,1593.389093,131.2951221
DALYs (Disability-Adjusted Life Years),Saint Kitts and Nevis,Both,Age-standardized,Headache disorders,Rate,1990,553.7432512,1215.424175,108.3725318
DALYs (Disability-Adjusted Life Years),Montenegro,Male,Age-standardized,Headache disorders,Rate,1990,419.2624475,853.3644344,123.629169
DALYs (Disability-Adjusted Life Years),Montenegro,Female,Age-standardized,Headache disorders,Rate,1990,743.9670944,1560.303428,199.109842
DALYs (Disability-Adjusted Life Years),Montenegro,Both,Age-standardized,Headache disorders,Rate,1990,582.0647259,1210.064651,161.3615178
DALYs (Disability-Adjusted Life Years),Tunisia,Male,Age-standardized,Headache disorders,Rate,1990,510.8491025,1097.736545,127.160536
DALYs (Disability-Adjusted Life Years),Tunisia,Female,Age-standardized,Headache disorders,Rate,1990,832.7542165,1856.167764,187.8096894
DALYs (Disability-Adjusted Life Years),Tunisia,Both,Age-standardized,Headache disorders,Rate,1990,671.2767226,1452.166766,157.5552483
DALYs (Disability-Adjusted Life Years),Togo,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1203.679531,1624.654129,856.0386379
DALYs (Disability-Adjusted Life Years),Togo,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1343.291754,1784.740557,962.7158764
DALYs (Disability-Adjusted Life Years),Togo,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1277.432173,1710.892967,910.7344074
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Male,Age-standardized,Headache disorders,Rate,1990,356.3724752,754.224987,82.97327197
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Female,Age-standardized,Headache disorders,Rate,1990,724.4607498,1610.561118,134.8639631
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,Headache disorders,Rate,1990,543.0235338,1183.5024,109.4842989
DALYs (Disability-Adjusted Life Years),Guinea,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1194.753342,1606.943257,835.7789906
DALYs (Disability-Adjusted Life Years),Guinea,Female,Age-standardized,Musculoskeletal disorders,Rate,1990,1331.464465,1767.753385,946.8176075
DALYs (Disability-Adjusted Life Years),Guinea,Both,Age-standardized,Musculoskeletal disorders,Rate,1990,1263.53926,1688.405213,895.8753389
DALYs (Disability-Adjusted Life Years),Mali,Male,Age-standardized,Headache disorders,Rate,1990,482.6915775,1054.43839,99.56480862
DALYs (Disability-Adjusted Life Years),Mali,Female,Age-standardized,Headache disorders,Rate,1990,714.838557,1585.676496,140.2983663
DALYs (Disability-Adjusted Life Years),Mali,Both,Age-standardized,Headache disorders,Rate,1990,603.3544294,1322.498316,121.5628459
DALYs (Disability-Adjusted Life Years),Norway,Male,Age-standardized,Musculoskeletal disorders,Rate,1990,1562.227139,2088.003926,1114.223452
